### Layer 1 ###
__ 42 42 42 42 42 42 40 __ __ __ __ __ __ __ __ __
__ __ __ __ __ __ __ 40 31 __ __ __ __ __ __ __ __
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __
### Layer 6 ###
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __
__ __ __ 31 __ __ __ 40 __ __ __ __ __ __ __ __ __
__ __ __ 31 __ __ __ 40 __ __ __ __ __ __ __ __ __
__ __ __ 31 16 16 16 16 16 16 __ __ __ __ __ __ __
__ __ __ 31 16 01 10 10 10 10 __ __ __ __ __ __ __
__ __ __ 31 __ 01 04 04 04 04 45 __ __ __ __ __ __
__ __ __ 31 __ 01 __ __ 45 45 45 __ __ __ __ __ __
__ __ __ 31 24 24 42 __ 45 __ __ __ __ __ __ __ __
__ __ __ 31 __ 24 24 __ __ __ __ __ __ __ __ __ __
__ 04 __ 31 __ __ __ __ __ __ __ __ __ __ __ __ __
__ __ __ 31 __ __ 42 40 __ __ __ __ __ __ __ __ __
__ __ __ 31 __ __ 42 40 __ __ __ __ __ __ __ __ __
__ __ __ 31 __ __ 42 40 __ __ __ __ __ __ __ __ __
__ __ __ 31 31 31 31 40 __ __ __ __ __ __ __ __ __
__ __ __ __ __ __ 31 31 31 __ __ __ __ __ __ __ __
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __
### Layer 7 ###
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __
__ __ __ __ __ __ __ 40 __ __ __ __ __ __ __ __ __
__ __ __ __ __ __ __ 40 __ __ __ __ __ __ __ __ __
__ __ __ __ __ __ __ 40 __ __ __ __ __ __ __ __ __
__ __ __ 04 04 04 04 40 __ __ __ __ __ __ __ __ __
__ __ __ 04 __ __ __ 40 __ __ __ __ __ __ __ __ __
__ __ __ 04 __ __ 42 40 __ __ __ __ __ __ __ __ __
__ __ __ 04 __ __ 42 40 __ __ __ __ __ __ __ __ __
__ 04 04 04 __ __ 42 40 __ __ __ __ __ __ __ __ __
__ __ __ __ __ __ 42 40 __ __ __ __ __ __ __ __ __
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __
__ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __ __
